date,description,amount,category
2025-06-13,Sushi at Japanese restaurant,1425.1,Food
2025-06-24,Ordered pizza from Foodmandu,3402.29,Food
2025-06-04,Paid for parking,3146.62,Transport
2025-05-27,Blood test at clinic,4744.69,Health
2025-05-24,Refueled scooter,1023.4,Transport
2025-05-17,Multivitamins from store,2453.24,Health
2025-07-06,Gas cylinder refill,1944.46,Utilities
2025-07-03,Monthly internet bill,1656.2,Utilities
2025-07-04,Blood test at clinic,3863.17,Health
2025-06-03,Grocery shopping,2404.62,Shopping
2025-06-06,YouTube Premium payment,4453.49,Entertainment
2025-07-08,Bought game on Steam,543.98,Entertainment
2025-05-27,Bus ticket to Pokhara,1110.52,Transport
2025-06-20,Refueled scooter,745.05,Transport
2025-05-26,Gas cylinder refill,3246.39,Utilities
2025-06-01,Mobile recharge,676.53,Utilities
2025-07-01,Stationery purchase,4022.87,Others
2025-06-22,Paid water bill,4636.54,Utilities
2025-07-03,Donation to charity,1625.46,Others
2025-05-27,Bus ticket to Pokhara,2163.92,Transport
2025-05-16,Gas cylinder refill,3782.9,Utilities
2025-05-13,Bus ticket to Pokhara,3782.82,Transport
2025-05-22,Monthly internet bill,3868.47,Utilities
2025-06-01,Netflix monthly subscription,1622.7,Entertainment
2025-06-01,Bus ticket to Pokhara,129.55,Transport
2025-05-30,Netflix monthly subscription,2556.91,Entertainment
2025-07-02,Multivitamins from store,3696.0,Health
2025-06-13,Snacks at office canteen,2452.29,Food
2025-06-27,Paid water bill,2109.06,Utilities
2025-05-28,Spotify premium,2267.28,Entertainment
2025-05-31,Snacks at office canteen,1536.89,Food
2025-05-24,Stationery purchase,263.44,Others
2025-05-22,Bus ticket to Pokhara,2494.23,Transport
2025-05-24,Bought new shoes from Daraz,3612.44,Shopping
2025-05-27,Bus ticket to Pokhara,4392.95,Transport
2025-06-04,Spotify premium,2929.53,Entertainment
2025-06-24,Electricity bill payment,2884.94,Utilities
2025-06-13,Paid for parking,1721.07,Transport
2025-05-16,Gift for friend,3425.26,Others
2025-07-04,Movie ticket at QFX,2687.06,Entertainment
2025-07-11,Concert ticket,1418.94,Entertainment
2025-06-13,YouTube Premium payment,3244.94,Entertainment
2025-07-11,Taxi to home,2645.34,Transport
2025-06-06,New phone case,1917.36,Shopping
2025-06-16,Bought paracetamol from pharmacy,2892.0,Health
2025-07-11,Doctor visit fee,2290.78,Health
2025-05-14,Donation to charity,2459.68,Others
2025-06-16,Grocery shopping,4145.25,Shopping
2025-07-04,Multivitamins from store,991.52,Health
2025-06-19,Breakfast at bakery,270.38,Food
2025-05-24,YouTube Premium payment,3042.96,Entertainment
2025-06-11,Dinner at New Everest Restaurant,3923.45,Food
2025-07-03,Bought new shoes from Daraz,377.43,Shopping
2025-06-21,Dinner at New Everest Restaurant,2540.23,Food
2025-05-16,New phone case,3702.01,Shopping
2025-06-03,Gift for friend,3077.08,Others
2025-07-09,Refueled scooter,4004.42,Transport
2025-05-28,Sushi at Japanese restaurant,326.93,Food
2025-06-30,Grocery shopping,4277.04,Shopping
2025-06-10,Bought new shoes from Daraz,1993.25,Shopping
2025-05-13,T-shirt from clothing store,4670.83,Shopping
2025-05-25,Concert ticket,2670.71,Entertainment
2025-06-29,Bought paracetamol from pharmacy,2293.0,Health
2025-07-04,Bus ticket to Pokhara,2622.27,Transport
2025-07-07,Lunch at Thakali Ghar,486.61,Food
2025-06-07,Gas cylinder refill,2327.5,Utilities
2025-06-09,Mobile recharge,2544.34,Utilities
2025-07-08,Donation to charity,4294.25,Others
2025-06-04,YouTube Premium payment,4814.79,Entertainment
2025-06-09,Spotify premium,1879.21,Entertainment
2025-06-04,Netflix monthly subscription,3223.12,Entertainment
2025-07-09,Snacks at office canteen,3652.51,Food
2025-07-03,Dental check-up payment,2924.33,Health
2025-05-25,YouTube Premium payment,1949.07,Entertainment
2025-05-21,Snacks at office canteen,2822.44,Food
2025-06-02,Tea and biscuits from cafe,4313.54,Food
2025-05-12,Mobile recharge,4107.66,Utilities
2025-06-18,Bought new shoes from Daraz,443.83,Shopping
2025-06-30,Refueled scooter,3029.69,Transport
2025-05-13,Sushi at Japanese restaurant,1553.47,Food
2025-07-08,Bus ticket to Pokhara,611.67,Transport
2025-05-27,T-shirt from clothing store,897.91,Shopping
2025-06-01,Gas cylinder refill,933.11,Utilities
2025-06-28,Blood test at clinic,4137.83,Health
2025-07-05,Online gadget purchase,4060.12,Shopping
2025-07-07,Refueled scooter,133.82,Transport
2025-06-07,Paid water bill,131.24,Utilities
2025-06-12,Monthly internet bill,4893.51,Utilities
2025-06-14,Uber ride to airport,1826.3,Transport
2025-06-02,Bought momo from street vendor,2066.27,Food
2025-05-13,Uber ride to airport,4097.91,Transport
2025-06-09,Breakfast at bakery,2449.78,Food
2025-06-17,Bought momo from street vendor,163.18,Food
2025-05-29,Lunch at Thakali Ghar,1158.62,Food
2025-05-16,Donation to charity,4431.21,Others
2025-05-31,Bought paracetamol from pharmacy,2898.4,Health
2025-06-26,Electricity bill payment,1039.14,Utilities
2025-07-06,Bank service fee,4137.62,Others
2025-05-16,Multivitamins from store,2727.54,Health
2025-05-23,Stationery purchase,4524.86,Others
